"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","brakes","brakes",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"unknown","Thu Jan 13 03:07:05 GMT 2022","Thu Jan 13 03:07:05 GMT 2022","3","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","radio","radio",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Jan 13 03:07:05 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","7","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateCard","validateCard",""
"failed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","24","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Thu Jan 13 03:07:06 GMT 2022","Thu Jan 13 03:07:06 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
